Windfarm Id,Name,OtherNames,Country Name,Windfarm Status,Round/Category,Region,Comments,Website,Most Recent Lifecycle Event,Offshore Construction Starts,Submit Consent Application,Financial Close,First Power,Estimated COD,COD,Owners,Developers,Operators,Capacity MW (Max),Num Turbines (Max),Total # of Turbines,Turbine Description,# of Turbine 1,Turbine 1 OEM,Turbine 1 Model,Turbine 1 Estimated,Turbine 1 Drive Train,Turbine 1 Capacity MW,TotalTurbine 1 HeightM,HubHeight 1 M,RotorDiam 1 M,# of Turbine 2,Turbine 2 OEM ,Turbine 2 Model,Turbine 2 Estimated,Turbine 2 Drive Train,Turbine 2 Capacity MW,TotalTurbine 2 Height,HubHeight 2 ,RotorDiam 2 M,Others,Foundation Description,Total # of Foundations,# of Foundation 1,FoundationType 1,Foundation Tech 1,# of Foundation 2,Foundation Type 2,Foundation Tech 2,Foundation Comments,CAPEX,ProjectCost Mill,ProjectCost Currency,WaterDepthM (Min),WaterDepthM (Max),DevDepthM (Min),DevDepthM (Max),DistanceFrom ShoreQuoted,DistanceFrom ShoreAuto,WindSpeed1m (m/s),AreaSqKm,Lat,Lon,Sea Name,GeoRegion,Estimated Location,Installation Base,Ops and Maintenance,NumOffshore Substations,SharedPlatformType,GridConnection Point,LandingPoint,AC_NumCables,AC_AverageLengthCableKm,AC_AdditionalRequirementsKm,AC_NominalVoltageKV,AC_MaximumVoltageKV,AC_SectionMM2,DC_NumCables,DC_AverageLengthCableKm,DC_AdditionalRequirementsKm,DC_NominalVoltageKV,DC_MaximumVoltageKV,DC_SectionMM2,ExportCableComments,CableLengthKm,NominalVoltageKV_A,MaximumVoltageKV_A,SectionMM2_A,Comments_A,Num Cables,AverageLengthCableKm_O,Comments_O,ExpectedLife Years
AL01,Durrazzo,Durres,Albania,On Hold/Canceled,,Durrës,Blue H Technologies BV ceased trading in October 2012.,,10 Oct 2012: Blue H Technologies cease trading.,,,,,,,Blue H Technologies BV,Blue H Technologies BV,,539,154,154,Blue H,,,,,,,,,,,,,,,,,,,Blue H,Floating: ,154,,,,,,,,CNY 3590m,CNY,3590,,,18,40,36,,7.58,,41.373,19.24,Adriatic Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU02,Star of the South,,Australia,Planning,,Victoria,,http://www.starofthesouth.com.au,"04 Sep 2018: According to the Australian Friends of the Earth organisation, the Star of the South has been  held up by the federal Coalition government for unknown reasons. The federal government is yet to sign off on an exploration license for the Star of the South, which would take it to the next stage of detailed ecological and economic analysis. The organisation has launched a petition in support of a request for a status update from the Energy Minister Angus Taylor.",1-Jan-22,,,2024,,,"Offshore Energy Pty Ltd,Copenhagen Infrastructure Partners","Offshore Energy Pty Ltd,Copenhagen Infrastructure Partners",,2000,250,250,TBD,,,,,,12,,,,,,,,,,,,,,Grounded: ,250,,Grounded,,,,,,AUD 8000m,AUD,8000,17.6,50,20,40,10,15,9.44,579.82,-38.787,146.923,Bass Strait,Australasia,NO,,,2,,Latrobe Valley,,4,95,,,,,,,,,,,,,,,,,,,,
AU01,Global Renewable Solutions - Power Platform,,Australia,On Hold/Canceled,,South Australia,The project is a hybrid wind-wave power concept with a total capacity of 9MW for each Power Platform. The platform will consist of one wind turbine (up to 7MW) and 6 (up to 1.5MW) oscillating water column (OWC) wave devices. The design is for six or more 'energy islands' to be put together in an array.,http://www.globalrenewablesolutions.org/,"01 Apr 2017: Global Renewable Solutions intends testing the power platform, minus wind turbine, off of the coast of Co. Mayo. Ireland in the second quarter of 2017.",,,,,,,Global Renewable Solutions(formerly Marine Power Technologies Pty Ltd),Global Renewable Solutions(formerly Marine Power Technologies Pty Ltd),,7,1,1,TBD,,,,,,3,,,,,,,,,,,,,,Grounded: Gravity-Base,1,,,,,,,,,,,,,20,40,3,,9.74,,-38.367,141.675,Indian Ocean,Australasia,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ02,Pirallahi Island,Kül?k adas?-1,Azerbaijan,Permitting,,Absheron,Project to be financed by oversea investment and to be built within an area of oil production.,,01 Oct 2015: Project submitted to Cabinet of Ministers for consideration.,,1-Oct-15,,,,,,,,200,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,USD 428.5m,USD,428.5,,,,,,,7.61,,40.38,50.464,Caspian Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ03,Pirallahi-Chilov - Az?ralternativenerji,,Azerbaijan,Planning,,Absheron,,,"11 Nov 2018: Azeralternativenergy LLC under the State Agency for Alternative and Renewable Energy Sources is negotiating with foreign investors from the Middle East, China and Canada for financing a project in the Caspian Sea. The project will be located near Pirallahi settlement and Chilov island with a capacity of 200MW. The project would require the introduction of a 'green tariff'.",,,,,,,,Azeralternativenergy LLC,,200,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,,,,,,,7.52,,40.355,50.465,Caspian Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ01,Zira Island,,Azerbaijan,On Hold/Canceled,,Absheron,The vision of Zira Island is to create an island that is entirely independent of external resources - a self contained island development. Developers plan to use the foundations of disused oil platforms to mount turbines.,http://www.ziraisland.com/,,,,,,,,Avrositi Holding,Avrositi Holding,,,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: Jacket,0,,,,,,,,,,,5,14,,,6,,7.74,,40.285,49.851,Caspian Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD02,Chittagong - Givent DCL Green Energy,,Bangladesh,Planning,,Chittagong,,http://www.dclgroup.com.sg/,"01 Jan 2015: Wind turbine installation permission has been received from Chittagong Port Authority (CPA) and Civil Aviation Authority Bangladesh (CAAB), Head Quarters.",,,,,,,Givent DCL Global Finance Ltd,"Givent DCL Green Energy,Deepwater Windenergy Investment AB",,400,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: Mobile Jack-Up,0,,Grounded,Tripod,,,,Marcon Wind Power AB design,,,,,,10,20,,,7.32,,22.085,91.822,Bay of Bengal,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD01,Chittagong,,Bangladesh,On Hold/Canceled,,Chittagong,"Bangladesh Power Development Board intends to select a potential sponsor to develop a 100-200MW offshore wind project on a build, own and operate basis.",http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=136&Itemid=113,24 Aug 2010: Receipt of pre-qualification submissions.,,,,,,,Bangladesh Power Development Board (BPDB),,,200,50,50,TBD,,,,,,10,,,,,,,,,,,,,,Grounded: ,50,,,,,,,,,,,3.6,8.6,,,0.3,1,7.35,15.6,22.151,91.806,Bay of Bengal,Asia,NO,Trelleborg,,,,Shahmirpur,Anwara Upozilla,,,,,,,,,,,,,,,,,,,,,,25
BB01,Large Scale Ocean Energy - Feasibility study ,,Barbados,Development Zone,,To be decided,"July 2018 - Barbados Government has issued a request for Expressions of interest to undertake a wide range of technical and environmental studies, as well as related capacity building activities, to investigate the feasibility and facilitate the construction of a large-scale Ocean Energy power plant or array in Barbados. Technologies which are to be considered are Ocean Thermal Energy Conversion (OTEC), fixed offshore wind, and floating offshore wind.",,"25 Jul 2018: Deadline for submittal of Expressions of Interest - To undertake a wide range of technical and environmental studies, as well as related capacity building activities, to investigate the feasibility and facilitate the construction of a large-scale Ocean Energy power plant or array in Barbados. Technologies which are to be considered are Ocean Thermal Energy Conversion (OTEC), fixed offshore wind, and floating offshore wind.",,,,,,,,,,,,0,TBD,,,,,,,,,,,,,,,,,,,,Various,0,,,,,,,,,,,,,,,,,9.53,,12.99,-59.489,Sargasso Sea,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE03,Belwind ,Zone 3 and Bligh Bank,Belgium,Installed,Concession identified through decree of May 2004,Vlaanderen,Depth range for whole concession area is 15-37m  Revenues via Renewable Energy Certificate sold to Elia for 20 years at €107/MWh,http://www.belwind.eu/,01 Apr 2018: J/U WIND was on site supporting turbine maintenance work.,30-Aug-09,1-Jun-06,24-Jul-09,2010,0,2010,"Meewind,Parkwind NV",Belwind NV,Belwind NV,165,55,55,V90-3.0 MW Offshore (Vestas),,Vestas,V90-3.0 MW Offshore,,Geared,3,117,72,90,,,,,,,,,,,Grounded: Monopile,55,,Grounded,Monopile,,,,,EUR 614m,EUR,614,11.6,20,15,24,46,44,10.16,13.19,51.67,2.803,North Sea,Europe,NO,Zeebrugge,Oostende,1,,Zeebruges (Elia 150 kV station),Zeebruges ,1,52,,150,170,630/500,,,,,,,"3 x 1 x 630/500 mm2 CU, 170 kV",50,33,,,55 individual lengths of 33 kV cables,3,3,"1200mm2 Al, 87/150kV (NKT Cables)",20
