"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
Questions? Want a Guided Tour? Please Call +44 (0)1502 307037",,,"↑
Click to collapse",,,,,,,"↑
Click to collapse",,,,,,,"↑
Click to collapse",,,,"↑
Click to collapse",,,"↑
Click to collapse",,"↑
Click to collapse",,,,,,,,,,,,"↑
Click to collapse",,,"↑
Click to collapse",,,"↑
Click to collapse",,,,,"↑
Click to collapse",,,,,,,,,,,,,"↑
Click to collapse",,"↑
Click to collapse",,,,"↑
Click to collapse",,,,,,,,,"↑
Click to collapse",,,"↑
Click to collapse",,,
General Information and Status,,,,,,,,,,Key Dates,,,,,,,Analyst Opinion,,,,Key Stakeholders,,,Power,,Turbines,,,,,,,,,,,,Foundations,,,CAPEX,,,Subsidy / Revenue,,,,,Location & Environment,,,,,,,,,,,,,Ports,,Grid,,,,Export Cabling (AC and DC),,,,,,,,,Array Cabling,,,Onshore Cabling,,,Expected Life
Wind Farm Id,Wind Farm,Other Names,Country Name,Windfarm Status,Round/Category,Region,Comments,Website,Most Recent Lifecycle Event,Park Construction Starts ,Offshore Construction Starts,Submit Consent Application,Consent Authorised,Financial Close,First Power,Full Commissioning,Analyst Offshore Start (Park),Modelled Capacity (MW),Analyst Certainty,Analyst Comments,Owners,Developers,Operators,Capacity MW (Max),Capacity MW (Min),Turbine Model and OEM,Is Estimated?,Turbine OEM,Turbine Model,Other Turbines,Turbine MW (Min),Turbine MW (Max),Num Turbines (Min),Num Turbines (Max),Total Turbine Height (M),Hub Height (m),Rotor Diam (m),Foundation,Foundations on Windfarm,Foundation Comments,CAPEX,Project Cost Mill,Project Cost Currency,Revenue Mechanism,Revenue Details,Revenue Currency,Revenue per MWh,Revenue EUR per MWh,Water Depth Min (m),Water Depth Max (m),Dev Depth Min (m),Dev Depth Max (m),Distance From Shore Quoted (km),Distance From Shore Auto (km),Wind Speed 100m (m/s),Area (SqKm),Lat,Lon,Sea Name,Geo Region,Is Estimated Location?,Installation Base,Ops and Maintenance,Num Dedicated Platforms,Shared Platform Type,Grid Connection Point,Landing Point,AC Num Cables,AC Average Length Cable (km),AC Additional Requirements (km),AC Nominal Voltage (kV),DC Num Cables,DC Average Length Cable (km),DC Additional Requirements (km),DC Nominal Voltage (kV),Export Cable Comments,Cable Length (km) Array,Nominal Voltage (kV) Array,Comments Array,Num Cables Onshore,Average Length Cable (km) Onshore,Comments Onshore,Expected Life (years)
SE76,Anemone,,Sweden,Concept/Early Planning,,Kalmar,,,25 Jun 2020: OX2 has submitted an application to the government for an exploration permit to conduct surveys of the Anemone site. The government has commissioned the Swedish Geological Survey to prepare applications by collecting opinions for the government.,,,,,,,,,,,,OX2,OX2,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,No information on foundation type.,,,,,,,,,,,,,,,9.04,,56.044,16.3151,Baltic Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
GR63,2020 Floating Tender(s),,Greece,Development Zone,2020 floating tender,To Be Decided,"The director of the Hellenic Wind Energy Association (ELETAEN) suggested that a floating specific auction could take place in H2 2020. This potential auction will allow for up to 2 projects to be licensed, aiming a post-2025 build-out.",http://eletaen.gr/dt-presveia-norvigias-eletaen-fow/,26 Apr 2019: The director of the Hellenic Wind Energy Association (HWEA) estimates that 1 or 2 projects will be auctioned in the upcoming auction on the 2H of 2020. The overall estimated capacity of the auction is 250-350 MW.,31-Dec-2025,31-Dec-2025,,,,,,2028,250,Low,"In 2019, the Minister of the Ministry for Environment and Energy of the newly elected government suggested that an auction could be held in H2 2020 targeting two small-scale floating wind project in the Aegean Sea. Hosting an auction in 2020 seems highly unlikely based on Greece's offshore wind progress. Greece is moving fast to prepare an offshore wind framework with its Maritime Spatial Plan to be ready by March 2021.

4C Offshore estimates that an offshore wind auction could take place in 2022/2023. If a project is awarded by 2023, offshore construction could start in 2028.",,,,350,250,Not Decided,,,,,,,,,,,,Floating: Not Specified,,,,,,,,,,,100,200,,,,,8.93,,37.5676,24.9454,To Be Decided,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
NL0A,2B Energy Eemshaven Test (onshore),,Netherlands,Fully Commissioned,,Groningen,This project is an onshore test for an offshore turbine.,,02 Apr 2016: Trial run of 2B Energy turbine closed with > 95% availability.,07-Sep-2015,07-Sep-2015,29-Apr-2012,27-Jul-2013,,16-Dec-2015,02-Apr-2016,,,High,,2-B Energy,2-B Energy B.V.,,6,,2B6 (2-B Energy),,,2B6,,,6,,1,175.3,105,140.6,Grounded: Onshore,1 x Onshore,,,,,,,,,,,,,,,0.4,9.81,,53.4551,6.8008,Onshore,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
LK01,300MW North Western Coast,,Sri Lanka,Cancelled,,North West,Project proposed to the Sri Lankan Government and based off the North Western coast between Negombo and Delft Island.,,01 Jan 2014: Estimated date of cancellation.,,,,,,,,,,,,,"Tiefbau GmbH Unterweser (TAGU),Tagu Energy Lanka (Pvt) Ltd.,Zero Carbon Marine Limited (formerly Farm Energy Ltd)",,300,,Not Decided,,,,,,,3,5,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,9.33,,7.9136,79.6267,Palk Strait or Gulf of Mannar,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
ES17,A Mariña,,Spain,Cancelled,,Galicia,,,21 Mar 2017: Project status changed to 'Cancelled' due to no news of project or developer for several years.,,,,,,,,,,,,,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,43.324,-9.1614,Atlantic Ocean,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
UK47,Aberdeen Offshore Wind Farm (EOWDC),"Aberdeen Bay, European Offshore Wind Deployment Centre - EOWDC",United Kingdom,Fully Commissioned,,"Scotland, NorthEast",MHI Vestas specially designed the V164-8.4 MW and V164-8.8 MW turbines. The  turbines will be the first V164 models installed on a jacket foundation and utilising suction buckets and the 'short tower' option. The project will also be the first to validate 66kV technology.,http://www.vattenfall.co.uk/en/aberdeen-bay.htm,"07 Jan 2020: Update 7th January 2020: Approval was granted for lifetime extension.
On 11 April 2019, Vattenfall submitted an application to the Scottish Ministers for the variation of the existing consent to extend it from 22 to 25 years (excluding decommissioning), in order to align with the design life of the wind farm assets. Specifically, the MHI Vestas V164-8.0 MW turbines have a structural design life of 25 years, indicating that they do not require additional maintenance in excess of manufacturers’ recommendations over this time period.

Final Commissioning took place on the 25th July 2018; therefore according to the original consents the wind farm will be operational until 25th July 2040. The  current Marine Licence 04309/18/3 remains in force until 31st December 2041 therefore is valid for approximately 23 years after Final Commissioning.

Vattenfall requested a screening opinion from Marine Scotland for a potential extension in September 2018. A screening opinion was given by Marine Scotland in December 2018 confirming that an EIA is not required for the variation.",25-Mar-2018,25-Jan-2018,11-Aug-2011,15-Aug-2014,21-Jul-2016,01-Jul-2018,25-Jul-2018,2018,93.2,High,,Vattenfall,Aberdeen Offshore Wind Ltd,,93.2,,"V164-8.0 MW (MHI Vestas Offshore Wind), MHI Vestas specially designed  9xV164-8.4 MW turbines and  2x V164-8.8 MW turbines.",,,V164-8.0 MW,MHI Vestas specially designed  9xV164-8.4 MW turbines and  2x V164-8.8 MW turbines.,8.4,8.8,,11,191,109,164,Grounded: Jacket (Suction Bucket),11 x Jacket (Suction Bucket),"Three legged jacket with suction anchor foundations.
Jackets (inc buckets): footprint 77x37x37m, weight 1020-1240t.
Suction bucket anchors:diameter of 9.5 meters, height up to 15 meters and weight from 140 to 195 tons.",GBP 335 million,335,GBP,Renewables Obligation (RO) at 1.8 ROCs (Renewable Obligation Certificates)/MWh,The ROC subsidy will last a period of 20 years. Revenue is estimated using 2019-20 ROC buy-out price of £48.78/ROC and wholesale electricity price of £50/MWh.,GBP,137.8,156.24,20,30,19,32,2.4,2.88,,19.97,57.2257,-1.9965,"North Sea, Northern North Sea (Cromarty)",Europe,NO,"Pre-assembly of the turbines will take place in Esbjerg, Denmark. Jackets from Flushing (NL)",Aberdeen,,,"Blackdog, Aberdeenshire",Hareburn Terrace,2,6.5,,66,,,,,,13,66,Ten array cables will connect the turbines.,,0.8,,25
DE45,Adlergrund 500,,Germany,Cancelled,,Exclusive Economic Zone (Baltic-Westlich Adlergrund) (Cluster 1),,,"27 Apr 2018: Lost/didn't enter the 2018 transitional tender, the final opportunity before tendering is allocated centrally.",,,01-Jun-2013,,,,,,,,,BEC Energie Consult,Adlergrund 500 GmbH,,72,,Not Decided,,,,,,3.6,,20,,,,Grounded: Not Specified,,,,,,Candidate for 2018 WindSeeG tender (EEG 2017),,,,,34,37,34,37,40,38.99,8.64,3.78,54.818,14.0959,Baltic Sea,Europe,NO,,,,,,,,,,220,,,,,,,,,,,,
