year,capacity,low capacity,low capacity BAU,high capacity,low capacity exp,high capacity exp,high deploy
2021,148,148,148,148,148,148,148
2022,363,1799.482143,290.4,2907.517857,272.25,453.75,580.8
2023,521,3450.964286,416.8,5667.035714,390.75,651.25,833.6
2024,1048,5102.446429,838.4,8426.553571,786,1310,1676.8
2025,2608,6753.928571,2086.4,11186.07143,1956,3260,4172.8
2026,3688,8405.410714,2950.4,13945.58929,2766,4610,5900.8
2027,5191,10056.89286,4152.8,16705.10714,3893.25,6488.75,8305.6
2028,6694,11708.375,5355.2,19464.625,5020.5,8367.5,10710.4
2029,8197,13359.85714,6557.6,22224.14286,6147.75,10246.25,13115.2
2030,9700,15011.33929,7760,24983.66071,7275,12125,15520
2031,13965,16662.82143,11172,27743.17857,10473.75,17456.25,22344
2032,18230,18314.30357,14584,30502.69643,13672.5,22787.5,29168
2033,22495,19965.78571,17996,33262.21429,16871.25,28118.75,35992
2034,26760,21617.26786,21408,36021.73214,20070,33450,42816
2035,31025,23268.75,24820,38781.25,23268.75,38781.25,49640
