,,Capacity Projections from different groups,,,,,,,,,
COD,Aggregate capacity,2020 OWMR,GWEC,4C Offshore,Wood Mac ,Strathclyde/DNV,Equinor,ORE Catapult,,,Legend:
2021,148,148,,,,,,,,,OWMR projections
2022,363,363,,,,,,,,,Interpolated
2023,521,521,,,,,,,,,Average point-in-time projections
2024,1048,1048,,,,,,,,,
2025,2608,2608,,,,,,,,,
2026,3688,3688,,,,,,,,,
2027,5191,,,,,,,,,,
2028,6694,,,,,,,,,,
2029,8197,,,,,,,,,,
2030,9700,,19000,8000,4200,4300,13000,,,,
2031,13965,,,,,,,,,,
2032,18230,,,,,,,,,,
2033,22495,,,,,,,,,,
2034,26760,,,,,,,,,,
2035,31025,,,,,,,,,,
2036,35290,,,,,,,,,,
2037,39555,,,,,,,,,,
2038,43820,,,,,,,,,,
2039,48085,,,,,,,,,,
2040,52350,,,,,,,,,,
2041,56615,,,,,,,,,,
2042,60880,,,,,,,,,,
2043,65145,,,,,,,,,,
2044,69410,,,,,,,,,,
2045,73675,,,,,,,,,,
2046,77940,,,,,,,,,,
2047,82205,,,,,,,,,,
2048,86470,,,,,,,,,,
2049,90735,,,,,,,,,,
2050,95000,,,,,,,95000,,,
