,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,3186.238878745276,3186.238878745276,3186.2388787452755,3350.6318914635967,3021.8458660269553,0.0,75.07947384789227,78.55237991921224,72.42470305227992,0.0
1,2022,3015.2859619147143,3064.808840337054,2966.5633015859,3222.936707657271,2813.504382551128,0.05365351542564878,71.74072419154292,75.88141291732887,68.54105489069555,0.04446953987868252
2,2023,2900.3929022989987,2982.0552591979495,2820.9668354599726,3135.9134810099667,2675.4199212115486,0.0897126635272375,69.24508224028514,73.83285570491313,65.70803784783294,0.07770954308267197
3,2024,2814.62339573019,2919.6460090538158,2713.3785517920032,3070.2842448437164,2573.382621872895,0.11663139430444269,67.19145919272725,72.11506308066737,63.4183556107447,0.10506219943876793
4,2025,2746.59268394694,2869.7439071785343,2628.726330820131,3017.807459405636,2493.0980061460955,0.13798281030688653,65.41001006277565,70.60311099442792,61.45965864648958,0.1287897116155413
5,2026,2690.4498383396613,2828.28631294927,2559.330821452003,2974.210873382358,2427.2829366910732,0.155603223509988,63.8132714989542,69.23210752416348,59.723551400192605,0.15005702319868286
6,2027,2642.802085730788,2792.9009156804414,2500.770014836482,2936.999777449798,2371.7435568401806,0.17055745463393834,62.3504165177407,67.96407550627755,58.14749183264732,0.16954110994357907
7,2028,2601.5123294784235,2762.0845846905586,2450.2748532541664,2904.593487362326,2323.8536775534235,0.18351623074071421,60.98935420820827,66.7748934551865,56.692231857704144,0.1876693977401862
8,2029,2565.150417902404,2734.8262837564857,2406.001692153831,2875.9288027945504,2281.864776551852,0.19492840445392257,59.70855424547093,65.64829350373171,55.33157895901799,0.20472865371382543
9,2030,2532.7139246844554,2710.4141625315497,2366.6640740613643,2850.2571457006047,2244.5567707381515,0.2051085869362611,58.49288330267548,64.57278828319227,54.047210066584384,0.22092044196820693
10,2031,2503.474015690307,2688.328569692075,2331.3304102386674,2827.032053506963,2211.0461364079815,0.21428552253553512,57.33130474716357,63.539965135678976,52.82581978284225,0.23639176183740596
11,2032,2476.884794578743,2668.1788663429134,2299.3054787305696,2805.8427324251056,2180.6735213686316,0.22263054063475396,56.215524557454195,62.5434778224405,51.65744868817276,0.2512530832149359
12,2033,2452.527199383998,2649.6641752867336,2270.0573604077263,2786.3727815914567,2152.934450694258,0.23027516369086865,55.139152608841314,61.57841965511667,50.534451798803396,0.2655895175750589
13,2034,2430.0727987541345,2632.547966118206,2243.170450547298,2768.37346688734,2127.434762659578,0.23732246977317517,54.097160986376835,60.640917252090965,49.45083462754404,0.2794680328211234
14,2035,2409.2595971439055,2616.6410174774364,2218.3141545437716,2751.645804135128,2103.860919585835,0.2438546860953944,53.0855216676113,59.72785796627815,48.40181049652221,0.2929422790687073
