,ORBIT,Regression,OpEx,AEP,FCR,LCOE,Site
2021,2988.172111037896,3021.8458660269553,111.5,3959.52,0.058,72.42470305227992,Site 1
2022,,2813.504382551129,109.23571428571428,3974.537142857143,0.058,68.54105489069556,Site 1
2023,,2675.4199212115486,106.97142857142858,3989.554285714286,0.058,65.70803784783294,Site 1
2024,,2573.3826218728964,104.70714285714286,4004.5714285714284,0.058,63.41835561074472,Site 1
2025,2946.8967669969747,2493.0980061460964,102.44285714285714,4019.5885714285714,0.058,61.45965864648959,Site 1
2026,,2427.2829366910746,100.17857142857143,4034.6057142857144,0.058,59.72355140019263,Site 1
2027,,2371.743556840182,97.91428571428571,4049.6228571428574,0.058,58.14749183264734,Site 1
2028,,2323.853677553425,95.64999999999999,4064.64,0.058,56.69223185770417,Site 1
2029,,2281.864776551853,93.38571428571429,4079.657142857143,0.058,55.331578959018,Site 1
2030,2911.2435494050405,2244.556770738153,91.12142857142857,4094.674285714286,0.058,54.047210066584405,Site 1
2031,,2211.046136407983,88.85714285714286,4109.691428571428,0.058,52.82581978284227,Site 1
2032,,2180.673521368633,86.59285714285714,4124.708571428571,0.058,51.65744868817278,Site 1
2033,,2152.934450694259,84.32857142857142,4139.725714285714,0.058,50.53445179880341,Site 1
2034,,2127.4347626595795,82.06428571428572,4154.742857142857,0.058,49.450834627544054,Site 1
2035,2893.008557209136,2103.8609195858367,79.8,4169.76,0.058,48.40181049652223,Site 1
2021,3232.9842716996427,3021.8458660269553,111.5,3959.52,0.058,72.42470305227992,Site 2
2022,,2813.504382551129,109.23571428571428,3974.537142857143,0.058,68.54105489069556,Site 2
2023,,2675.4199212115486,106.97142857142858,3989.554285714286,0.058,65.70803784783294,Site 2
2024,,2573.3826218728964,104.70714285714286,4004.5714285714284,0.058,63.41835561074472,Site 2
2025,3185.718632584936,2493.0980061460964,102.44285714285714,4019.5885714285714,0.058,61.45965864648959,Site 2
2026,,2427.2829366910746,100.17857142857143,4034.6057142857144,0.058,59.72355140019263,Site 2
2027,,2371.743556840182,97.91428571428571,4049.6228571428574,0.058,58.14749183264734,Site 2
2028,,2323.853677553425,95.64999999999999,4064.64,0.058,56.69223185770417,Site 2
2029,,2281.864776551853,93.38571428571429,4079.657142857143,0.058,55.331578959018,Site 2
2030,3162.7280850099764,2244.556770738153,91.12142857142857,4094.674285714286,0.058,54.047210066584405,Site 2
2031,,2211.046136407983,88.85714285714286,4109.691428571428,0.058,52.82581978284227,Site 2
2032,,2180.673521368633,86.59285714285714,4124.708571428571,0.058,51.65744868817278,Site 2
2033,,2152.934450694259,84.32857142857142,4139.725714285714,0.058,50.53445179880341,Site 2
2034,,2127.4347626595795,82.06428571428572,4154.742857142857,0.058,49.450834627544054,Site 2
2035,3140.7234356787058,2103.8609195858367,79.8,4169.76,0.058,48.40181049652223,Site 2
2021,3088.4361310376776,3021.8458660269553,110.5,3880.68,0.058,73.63839848417375,Site 3
2022,,2813.504382551129,108.58571428571429,3894.445714285714,0.058,69.78373519927861,Site 3
2023,,2675.4199212115486,106.67142857142858,3908.2114285714288,0.058,66.99887884453862,Site 3
2024,,2573.3826218728964,104.75714285714285,3921.977142857143,0.058,64.76665357124526,Site 3
2025,3044.2118183251587,2493.0980061460964,102.84285714285714,3935.7428571428572,0.058,62.8706067649351,Site 3
2026,,2427.2829366910746,100.92857142857143,3949.5085714285715,0.058,61.20026767513124,Site 3
2027,,2371.743556840182,99.01428571428572,3963.274285714286,0.058,59.69191001081046,Site 3
2028,,2323.853677553425,97.1,3977.04,0.058,58.3055521941189,Site 3
2029,,2281.864776551853,95.18571428571428,3990.805714285714,0.058,57.014519777604974,Site 3
2030,3012.280955745604,2244.556770738153,93.27142857142857,4004.571428571429,0.058,55.80015870860767,Site 3
2031,,2211.046136407983,91.35714285714286,4018.337142857143,0.058,54.64892839047996,Site 3
2032,,2180.673521368633,89.44285714285715,4032.1028571428574,0.058,53.55069774565222,Site 3
2033,,2152.934450694259,87.52857142857144,4045.8685714285716,0.058,52.49769383730667,Site 3
2034,,2127.4347626595795,85.61428571428571,4059.634285714286,0.058,51.48382520169971,Site 3
2035,3000.698985470731,2103.8609195858367,83.7,4073.4,0.058,50.504230700637926,Site 3
2021,3196.5908645993804,3021.8458660269553,111.5,3959.52,0.058,72.42470305227992,Site 4
2022,,2813.504382551129,109.23571428571428,3974.537142857143,0.058,68.54105489069556,Site 4
2023,,2675.4199212115486,106.97142857142858,3989.554285714286,0.058,65.70803784783294,Site 4
2024,,2573.3826218728964,104.70714285714286,4004.5714285714284,0.058,63.41835561074472,Site 4
2025,3132.6956938448247,2493.0980061460964,102.44285714285714,4019.5885714285714,0.058,61.45965864648959,Site 4
2026,,2427.2829366910746,100.17857142857143,4034.6057142857144,0.058,59.72355140019263,Site 4
2027,,2371.743556840182,97.91428571428571,4049.6228571428574,0.058,58.14749183264734,Site 4
2028,,2323.853677553425,95.64999999999999,4064.64,0.058,56.69223185770417,Site 4
2029,,2281.864776551853,93.38571428571429,4079.657142857143,0.058,55.331578959018,Site 4
2030,3094.897568508712,2244.556770738153,91.12142857142857,4094.674285714286,0.058,54.047210066584405,Site 4
2031,,2211.046136407983,88.85714285714286,4109.691428571428,0.058,52.82581978284227,Site 4
2032,,2180.673521368633,86.59285714285714,4124.708571428571,0.058,51.65744868817278,Site 4
2033,,2152.934450694259,84.32857142857142,4139.725714285714,0.058,50.53445179880341,Site 4
2034,,2127.4347626595795,82.06428571428572,4154.742857142857,0.058,49.450834627544054,Site 4
2035,3079.30097893648,2103.8609195858367,79.8,4169.76,0.058,48.40181049652223,Site 4
2021,3425.0110153517835,3021.8458660269553,111.5,3959.52,0.058,72.42470305227992,Site 5
2022,,2813.504382551129,109.23571428571428,3974.537142857143,0.058,68.54105489069556,Site 5
2023,,2675.4199212115486,106.97142857142858,3989.554285714286,0.058,65.70803784783294,Site 5
2024,,2573.3826218728964,104.70714285714286,4004.5714285714284,0.058,63.41835561074472,Site 5
2025,3358.2411825420236,2493.0980061460964,102.44285714285714,4019.5885714285714,0.058,61.45965864648959,Site 5
2026,,2427.2829366910746,100.17857142857143,4034.6057142857144,0.058,59.72355140019263,Site 5
2027,,2371.743556840182,97.91428571428571,4049.6228571428574,0.058,58.14749183264734,Site 5
2028,,2323.853677553425,95.64999999999999,4064.64,0.058,56.69223185770417,Site 5
2029,,2281.864776551853,93.38571428571429,4079.657142857143,0.058,55.331578959018,Site 5
2030,3304.780610627166,2244.556770738153,91.12142857142857,4094.674285714286,0.058,54.047210066584405,Site 5
2031,,2211.046136407983,88.85714285714286,4109.691428571428,0.058,52.82581978284227,Site 5
2032,,2180.673521368633,86.59285714285714,4124.708571428571,0.058,51.65744868817278,Site 5
2033,,2152.934450694259,84.32857142857142,4139.725714285714,0.058,50.53445179880341,Site 5
2034,,2127.4347626595795,82.06428571428572,4154.742857142857,0.058,49.450834627544054,Site 5
2035,3292.384481866911,2103.8609195858367,79.8,4169.76,0.058,48.40181049652223,Site 5
