,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,3186.238878745276,3186.238878745276,3186.2388787452755,3350.6318914635967,3021.8458660269553,0.0,75.07947384789227,78.55237991921224,72.42470305227992,0.0
1,2022,2975.8202154336836,3036.4897932959802,2916.362825962771,3193.156548114103,2765.8939849923377,0.06603982667942776,71.1625086201985,75.43789684849067,67.84628139653599,0.052170920052388436
2,2023,2845.193801996628,2941.953821393706,2751.616191951334,3093.743021884393,2609.647402775827,0.10703688258394173,68.43936173131762,73.20702297452337,64.75183928627135,0.08844111148177769
3,2024,2751.4935309988737,2873.350902101335,2634.8040699073845,3021.6005561195407,2498.8621661587435,0.13644468110865648,66.27338824903555,71.39510632336072,62.3390425035834,0.11729018795067037
4,2025,2678.946758127516,2819.7606691460687,2545.164847290151,2965.2453516153546,2413.8478515991187,0.15921346136405468,64.42989298779807,69.82851713438863,60.31613142173905,0.14184410617567444
5,2026,2620.0415555466307,2775.9314838419705,2472.9060471227403,2919.1548130068336,2345.3172219509283,0.17770083937385472,62.79688027356701,68.42358883277973,58.545242590958686,0.16359456113410253
6,2027,2570.6298845661054,2738.941173110829,2412.6615307764973,2880.255998596623,2288.1810028538284,0.19320867568523115,61.312377149442945,67.13366637074357,56.9506820796947,0.18336698424846265
7,2028,2528.1870174236537,2706.999830691391,2361.1858126481698,2846.6666524616985,2239.361158533772,0.20652935525686622,59.93857772609616,65.93010526491524,55.48657376667031,0.20166492046109574
8,2029,2491.0658977613166,2678.9334232635115,2316.373095763568,2817.152167394686,2196.860539962293,0.21817980617250987,58.65075747766745,64.79406879392211,54.12308384544538,0.21881768116154743
9,2030,2458.134590272879,2653.9312591120943,2276.7830339047987,2790.8600242913612,2159.3131151405905,0.22851528594714798,57.4318784931339,63.712513194288405,52.83975577848438,0.23505219802834032
10,2031,2428.5829277657476,2631.410640314276,2241.389065877926,2767.177461109162,2125.7452879830694,0.23779006528157398,56.26970995347695,62.67603405283207,51.6219704684511,0.2505313760259307
11,2032,2401.8118307633545,2610.9390466337086,2209.4349838738744,2745.6496418634797,2095.439866989445,0.24619216506793262,55.15517842385093,61.67762707997007,50.45892717607459,0.2653760662255984
12,2033,2377.3662957766137,2592.1868368468845,2180.348431662244,2725.9299175934993,2067.854026472583,0.25386438799817546,54.08136818888762,60.7119342391943,49.342424851745484,0.2796783805590579
13,2034,2354.892928716179,2574.89716825055,2153.6862807943626,2707.74819387587,2042.5675010595162,0.26091764668833506,53.04288720861035,59.77476390250506,48.2660919510289,0.2935101367908768
14,2035,2334.1119937923404,2558.866133686154,2129.0987941276426,2690.890043025055,2019.2485981877142,0.26743973612188754,52.035449440527046,58.86277372599135,47.22488073531508,0.306928421662243
