,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,3186.238878745276,3186.238878745276,3186.2388787452755,3350.6318914635967,3021.8458660269553,0.0,75.07947384789227,78.55237991921224,72.42470305227992,0.0
1,2022,3015.2859619147143,3064.808840337054,2966.5633015859,3222.936707657271,2813.504382551128,0.05365351542564878,71.32819524175572,75.44606579621436,68.14232280836735,0.04996410355427472
2,2023,2900.3929022989987,2982.0552591979495,2820.9668354599726,3135.9134810099667,2675.4199212115486,0.0897126635272375,68.44460531017259,72.98356103754911,64.93750101338249,0.08837127110349274
3,2024,2814.62339573019,2919.6460090538158,2713.3785517920032,3070.2842448437164,2573.382621872895,0.11663139430444269,66.02219960775412,70.86912185451597,62.29634997008951,0.12063582462615274
4,2025,2746.59268394694,2869.7439071785343,2628.726330820131,3017.807459405636,2493.0980061460955,0.13798281030688653,63.88835445430884,68.97566196878152,60.00322302255041,0.1490569768277299
5,2026,2690.4498383396613,2828.28631294927,2559.330821452003,2974.210873382358,2427.2829366910732,0.155603223509988,61.953877169074396,67.23690980161723,57.947718122109634,0.17482270461044735
6,2027,2642.802085730788,2792.9009156804414,2500.770014836482,2936.999777449798,2371.7435568401806,0.17055745463393834,60.166728810312165,65.61389936578871,56.06591487516416,0.198626126067328
7,2028,2601.5123294784235,2762.0845846905586,2450.2748532541664,2904.593487362326,2323.8536775534235,0.18351623074071421,58.4938987450192,64.0817436834948,54.317537570750005,0.22090691706863474
8,2029,2565.150417902404,2734.8262837564857,2406.001692153831,2875.9288027945504,2281.864776551852,0.19492840445392257,56.91311855651205,62.623549718214875,52.67558172089899,0.24196167554642778
9,2030,2532.7139246844554,2710.4141625315497,2366.6640740613643,2850.2571457006047,2244.5567707381515,0.2051085869362611,55.408638095767344,61.22729960947721,51.12105479842886,0.2620001811943592
10,2031,2503.474015690307,2688.328569692075,2331.3304102386674,2827.032053506963,2211.0461364079815,0.21428552253553512,53.96888954165975,59.88411775201479,49.64008158868822,0.2811765083623474
11,2032,2476.884794578743,2668.1788663429134,2299.3054787305696,2805.8427324251056,2180.6735213686316,0.22263054063475396,52.58511094614791,58.587245362170805,48.222205755526765,0.29960735936052185
12,2033,2452.527199383998,2649.6641752867336,2270.0573604077263,2786.3727815914567,2152.934450694258,0.23027516369086865,51.25049276178011,57.33140223355474,46.85934076903445,0.31738343204680197
13,2034,2430.0727987541345,2632.547966118206,2243.170450547298,2768.37346688734,2127.434762659578,0.23732246977317517,49.95962601192226,56.112372630588546,45.545093989908146,0.3345767697688149
14,2035,2409.2595971439055,2616.6410174774364,2218.3141545437716,2751.645804135128,2103.860919585835,0.2438546860953944,48.70813275738123,54.926727091171614,44.27431551067422,0.35124568326009087
