,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,3186.238878745276,3186.238878745276,3186.2388787452755,3350.6318914635967,3021.8458660269553,0.0,75.07947384789227,78.55237991921224,72.42470305227992,0.0
1,2022,3059.716689781167,3096.5598791328594,3023.3118645027002,3256.325931511767,2867.325020858271,0.03970894643465417,72.39168207247135,76.37867879946889,69.3264537710216,0.035799288909060145
2,2023,2966.3137599052907,3029.6517980432945,2904.2998696702784,3185.9657486043225,2754.4534132110753,0.06902342454831589,70.2073042085993,74.57565879362262,66.85702397703204,0.06489349737804206
3,2024,2892.7380931574085,2976.5076921349346,2811.3260710581135,3130.0796889344997,2666.276569077019,0.09211512280066292,68.32744822562665,72.99934558179864,64.76378021708297,0.08993171204082928
4,2025,2832.3040718692164,2932.5566146076844,2735.4787681055955,3083.860969111149,2594.3425843386813,0.11108232004733976,66.6518763511742,71.57652407093694,62.92055083254805,0.11224902180044605
5,2026,2781.1891337279876,2895.1662707811774,2671.6990577123443,3044.5414820213364,2533.853568441625,0.12712472618399373,65.12315465434398,70.26493862891668,61.25557139898604,0.13261040179529449
6,2027,2737.009393919983,2862.6851621379164,2616.850962685545,3010.3845205906664,2481.8353439695616,0.14099052265729595,63.70538273885686,69.03801457668517,59.72426178845727,0.15149401728731904
7,2028,2698.181431553501,2834.010623723336,2568.862295941348,2980.2305282061634,2436.322637692434,0.15317666558132303,62.37465508400288,67.87796216179808,58.2970971564914,0.16921827115662524
8,2029,2663.6018250223306,2808.3707344722416,2526.2956187284026,2953.267756773238,2395.952175068145,0.16402946345590919,61.11426734233428,66.77229192708435,56.95354592394553,0.18600565227522625
9,2030,2632.472036402144,2785.2045755958043,2488.1149065887994,2928.9063470710653,2359.7413850013127,0.17379953713991536,59.91209463190429,65.71189986126043,55.67877027408888,0.20201765460845433
10,2031,2604.1962387625495,2764.0920712605375,2453.5499813840206,2906.7045495830293,2326.959826457051,0.18267388671496343,58.75906058013726,64.68994449483404,54.4617075714257,0.21737516835586057
11,2032,2578.318494727141,2744.710687021828,2422.0134718334198,2886.3231887992765,2297.0504333948675,0.19079560797322603,57.64819520615691,63.701153267508275,53.293894216537424,0.23217102822337787
12,2033,2554.4824357433677,2726.807541703353,2393.047699451926,2867.496336217145,2269.5791411100386,0.19827654706501185,56.57402972416969,62.74137541732734,52.168712740480935,0.24647807416996292
13,2034,2532.4044382616426,2710.180795853714,2366.289455204826,2850.011738540967,2244.2014802260314,0.205205719145926,55.53219358372172,61.807283338950754,51.08089209480968,0.26035451851690494
14,2035,2511.8552278109973,2694.666850580544,2341.4459134798517,2833.697356043954,2220.639733377771,0.2116550819315366,54.519137878626,60.89616699822001,50.02616566323019,0.27384762992506606
