,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,9924.048697531947,9924.048697531947,9924.048697531947,10208.041363537064,9640.05603152683,0.0,206.9981847951291,257.6411202903708,186.11093705418108,0.0
1,2022,7530.0686595489005,8077.2051953005775,7019.994248816476,8308.34745459383,6819.105786574471,0.24123017842288652,168.49139171036563,219.54814352778874,144.9901398372617,0.18602478626986285
2,2023,6944.863703319641,7604.194544606711,6342.700936273999,7821.800840924211,6161.194314988116,0.30019854648166044,156.53198665401706,206.78231329224226,133.0163052648592,0.24380019656239793
3,2024,6029.600363527844,6843.40918377647,5312.568570361643,7039.244379461063,5160.540848852457,0.39242535508442533,139.80012169663397,188.78318127525682,116.49013374799674,0.32463117087235627
4,2025,5082.781487987013,6024.6969991157775,4288.127296429206,6197.103424638199,4165.415614917093,0.48783186752690255,122.66494169407068,169.77960898116694,100.09033414145568,0.40741054412880473
5,2026,4772.114883838449,5747.83344322763,3962.0285955545187,5912.316971376937,3848.6487545305768,0.5191362891009145,114.83175226521857,160.73149855574084,92.7990740761009,0.4452523707931535
6,2027,4486.687268521027,5489.398518960317,3667.134491325168,5646.486514765073,3562.193520907545,0.5478974957431597,107.39086775795818,152.0471750721711,85.93492295385539,0.48119898798027916
7,2028,4286.580603056934,5305.723223188838,3463.1986052714537,5457.555054043658,3364.093589285303,0.5680613090781204,101.21054301651945,144.75074876521018,80.26833440686252,0.5110558910616059
8,2029,4134.069622511639,5164.270086957475,3309.379903838919,5312.054008083363,3214.6766581818615,0.5834291277168201,95.73899126614802,138.24426991499072,75.26649501558624,0.5374887400056039
9,2030,4011.7006290624777,5049.812988018663,3186.997612665017,5194.32153458105,3095.796533734624,0.5957596792063138,90.72072502209078,132.24770833289455,70.68552597995945,0.5617317846923191
10,2031,3759.6637835923807,4811.22606790194,2937.9354796811995,4948.907064783444,2853.8617155497136,0.6211562540470618,83.85034244062165,124.01931820676766,64.48900131000194,0.5949223297604747
11,2032,3585.792238932109,4644.263399744802,2768.556577021939,4777.166490481503,2689.3298634841476,0.6386764768875153,78.12733049389281,117.1122619874061,59.33558108181078,0.6225699729144135
12,2033,3454.4931950897794,4516.816310680115,2642.020931137826,4646.072297326417,2566.4152392731994,0.6519068678140514,73.03474101286561,110.9402685337639,54.747836811488355,0.6471720702036601
13,2034,3349.773281171109,4414.284695256748,2541.9704006189413,4540.606574292198,2469.2278161173763,0.6624590040550509,68.34010163741343,105.23654891490433,50.513625352033785,0.6698516863563262
14,2035,3263.1279110102114,4328.833074329869,2459.7861781173547,4452.709617355681,2389.3954277475173,0.6711898530060889,63.91968715890475,99.85780659039087,46.52108690536145,0.6912065329356992
