,ORBIT,Regression,OpEx,AEP,FCR,LCOE,Site
2021,11469.547594547059,11469.547594547059,243.0,4047.1200000000003,0.058,224.4148333836727,Site 1
2022,,8113.236906049353,231.71428571428572,4164.754285714285,0.0575,167.65104491449557,Site 1
2023,,7330.46687736073,220.42857142857142,4282.388571428572,0.057,149.0442011022864,Site 1
2024,,6139.909216911775,209.14285714285714,4400.022857142858,0.0565,126.37382712585278,Site 1
2025,,4955.928937561812,197.85714285714286,4517.657142857143,0.056,105.22913721158345,Site 1
2026,,4579.046005585435,186.57142857142856,4635.291428571429,0.0555,95.07675810089121,Site 1
2027,,4238.227246337405,175.28571428571428,4752.925714285714,0.055,85.92354212623025,Site 1
2028,,4002.531874154184,164.0,4870.56,0.0545,78.45873721736372,Site 1
2029,,3824.758571061603,152.71428571428572,4988.194285714286,0.054,72.02029992706454,Site 1
2030,,3683.3173552705252,141.42857142857142,5105.828571428571,0.0535,66.2940490853258,Site 1
2031,,3395.468103889107,130.14285714285714,5223.4628571428575,0.053,59.36725791491519,Site 1
2032,,3199.7113674227016,118.85714285714285,5341.097142857143,0.0525,53.70469436798011,Site 1
2033,,3053.469983778996,107.57142857142856,5458.731428571429,0.052,48.79373004757658,Site 1
2034,,2937.838314021932,96.28571428571428,5576.365714285715,0.0515,44.398879152343625,Site 1
2035,10554.116583702653,2842.8553206658817,85.0,5694.0,0.051,40.390871330165076,Site 1
2021,11469.547594547059,11469.547594547059,243.0,4047.1200000000003,0.058,224.4148333836727,Site 2
2022,,8113.236906049353,231.71428571428572,4164.754285714285,0.0575,167.65104491449557,Site 2
2023,,7330.46687736073,220.42857142857142,4282.388571428572,0.057,149.0442011022864,Site 2
2024,,6139.909216911775,209.14285714285714,4400.022857142858,0.0565,126.37382712585278,Site 2
2025,,4955.928937561812,197.85714285714286,4517.657142857143,0.056,105.22913721158345,Site 2
2026,,4579.046005585435,186.57142857142856,4635.291428571429,0.0555,95.07675810089121,Site 2
2027,,4238.227246337405,175.28571428571428,4752.925714285714,0.055,85.92354212623025,Site 2
2028,,4002.531874154184,164.0,4870.56,0.0545,78.45873721736372,Site 2
2029,,3824.758571061603,152.71428571428572,4988.194285714286,0.054,72.02029992706454,Site 2
2030,,3683.3173552705252,141.42857142857142,5105.828571428571,0.0535,66.2940490853258,Site 2
2031,,3395.468103889107,130.14285714285714,5223.4628571428575,0.053,59.36725791491519,Site 2
2032,,3199.7113674227016,118.85714285714285,5341.097142857143,0.0525,53.70469436798011,Site 2
2033,,3053.469983778996,107.57142857142856,5458.731428571429,0.052,48.79373004757658,Site 2
2034,,2937.838314021932,96.28571428571428,5576.365714285715,0.0515,44.398879152343625,Site 2
2035,10554.116583702653,2842.8553206658817,85.0,5694.0,0.051,40.390871330165076,Site 2
