,Year,Min capex,Capex percent reductions,Opex,AEP,FCR,LCOE,Min LCOE,LCOE percent reductions
0,2021,10807.842925630883,0.0,243.0,4047.1200000000003,0.058,214.93182551705686,214.93182551705686,0.0
1,2022,9075.720434631867,0.16026532795839166,232.78571428571428,4070.897142857143,0.0575,185.37428306218658,177.22089818906318,0.1375205481261993
2,2023,8474.999878319608,0.21584723828460906,222.57142857142858,4094.6742857142863,0.057,172.33273574348573,162.01907088429797,0.19819814804574154
3,2024,7548.172577501115,0.3016023058957893,212.35714285714286,4118.451428571429,0.0565,155.11385882910537,142.0320409107499,0.2783113507925069
4,2025,6581.964158443824,0.39100112726151437,202.14285714285714,4142.228571428572,0.056,137.784006887596,122.63776452552433,0.3589408801784846
5,2026,6259.822040148419,0.4208074559167396,191.92857142857144,4166.005714285714,0.0555,129.46422344244988,113.97517010107366,0.3976498216073837
6,2027,5960.719439935008,0.44848204392394375,181.71428571428572,4189.782857142857,0.055,121.61820129699794,105.92215244251302,0.4341545231636885
7,2028,5748.982078718525,0.46807312816466173,171.5,4213.5599999999995,0.0545,115.06173480148846,99.34210594847887,0.46465938897282
8,2029,5586.361447822829,0.48311966723954414,161.28571428571428,4237.337142857143,0.054,109.2547552531991,93.60201245082304,0.4916771632569198
9,2030,5455.0474531818345,0.4952695472428501,151.07142857142858,4261.114285714286,0.0535,103.94381319495896,88.40898839750396,0.5163870546164879
10,2031,5182.073005071996,0.5205266175008272,140.85714285714286,4284.891428571429,0.053,96.97025445157838,81.48384055810759,0.5488324997086907
11,2032,4991.633399810112,0.5381471183327049,130.64285714285717,4308.668571428571,0.0525,91.14268227474368,75.80243812619243,0.5759460840409107
12,2033,4846.585725691234,0.5515677125360956,120.42857142857144,4332.4457142857145,0.052,85.9678467375606,70.81624068188351,0.6000227210151423
13,2034,4730.094420813741,0.5623461172260114,110.21428571428572,4356.222857142857,0.0515,81.22039665763373,66.27828388117976,0.6221108881281607
14,2035,4633.144823066652,0.5713164176286174,100.0,4380.0,0.051,76.77862693525095,62.056729034086054,0.6427768351636791
