,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,9924.048697531947,9924.048697531947,9924.048697531947,10208.041363537064,9640.05603152683,0.0,206.9981847951291,257.6411202903708,186.11093705418108,0.0
1,2022,7530.0686595489005,8077.2051953005775,7019.994248816476,8308.34745459383,6819.105786574471,0.24123017842288652,169.23457964293874,220.51077608102625,145.63090052952103,0.18243447491854037
2,2023,6944.863703319641,7604.194544606711,6342.700936273999,7821.800840924211,6161.194314988116,0.30019854648166044,157.93351628703886,208.6180969917841,134.2126698128689,0.23702946263345592
3,2024,6029.600363527844,6843.40918377647,5312.568570361643,7039.244379461063,5160.540848852457,0.39242535508442533,141.7219911891494,191.34441890141062,118.10624248929963,0.3153466957721637
4,2025,5082.781487987013,6024.6969991157775,4288.127296429206,6197.103424638199,4165.415614917093,0.48783186752690255,124.97996811349026,172.92213575323217,102.0081037179627,0.39622674354760246
5,2026,4772.114883838449,5747.83344322763,3962.0285955545187,5912.316971376937,3848.6487545305768,0.5191362891009145,117.58668993184025,164.50118867472275,95.06676822006939,0.4319433764686462
6,2027,4486.687268521027,5489.398518960317,3667.134491325168,5646.486514765073,3562.193520907545,0.5478974957431597,110.53822214311967,156.38789648983297,88.50956173312017,0.4659942440919378
7,2028,4286.580603056934,5305.723223188838,3463.1986052714537,5457.555054043658,3364.093589285303,0.5680613090781204,104.72942686535141,149.63659867595945,83.13139516668363,0.49405630310717674
8,2029,4134.069622511639,5164.270086957475,3309.379903838919,5312.054008083363,3214.6766581818615,0.5834291277168201,99.60604220669195,143.64687864835258,78.39685247820881,0.5188071706750745
9,2030,4011.7006290624777,5049.812988018663,3186.997612665017,5194.32153458105,3095.796533734624,0.5957596792063138,94.9117959895581,138.1379642119573,74.06117574940217,0.5414848874955377
10,2031,3759.6637835923807,4811.22606790194,2937.9354796811995,4948.907064783444,2853.8617155497136,0.6211562540470618,88.2602394799213,130.2714363932649,68.01659228387943,0.5736182925117218
11,2032,3585.792238932109,4644.263399744802,2768.556577021939,4777.166490481503,2689.3298634841476,0.6386764768875153,82.75275120879515,123.72062219137342,63.01231922668769,0.6002247493585634
12,2033,3454.4931950897794,4516.816310680115,2642.020931137826,4646.072297326417,2566.4152392731994,0.6519068678140514,77.86202416960134,117.88771785695089,58.56117781959559,0.6238516572178486
13,2034,3349.773281171109,4414.284695256748,2541.9704006189413,4540.606574292198,2469.2278161173763,0.6624590040550509,73.35126027225907,112.50108502943404,54.4469658085319,0.6456429782470967
14,2035,3263.1279110102114,4328.833074329869,2459.7861781173547,4452.709617355681,2389.3954277475173,0.6711898530060889,69.09460121861545,107.41502341808018,50.55581789468811,0.6662067288802558
