,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,9924.048697531947,9924.048697531947,9924.048697531947,10208.041363537064,9640.05603152683,0.0,206.9981847951291,257.6411202903708,186.11093705418108,0.0
1,2022,4982.827379814289,5936.1004734194785,4182.63956417242,6105.971566407958,4062.946584324064,0.49790377579933787,131.22513202628616,180.1982646976704,107.95874437614778,0.3660566050076105
2,2023,4416.51531130443,5425.230309770458,3595.351050785483,5580.4820287333705,3492.4642793420103,0.5549683958722622,119.60427170175925,166.79829688387576,97.21667682376994,0.42219651916206724
3,2024,4113.726612838477,5145.302679871156,3288.97009526353,5292.543818039219,3194.850909210233,0.585478997713752,111.86481506648587,157.67081127109475,90.16333286290204,0.45958552642767825
4,2025,3911.0783061719967,4955.030720977766,3087.0713782357307,5096.826920036896,2998.729849735242,0.6058989203524707,105.60897104175213,150.21147761991907,84.48951981652519,0.48980726016377496
5,2026,3760.593724102809,4812.113710017531,2938.84683737241,4949.82010821039,2854.746993270108,0.6210625482885783,100.13209152981034,143.63997637876005,79.5297678114636,0.5162658473120748
6,2027,3641.848122495691,4698.31203943589,2822.9410128574245,4832.761819205228,2742.1580009385157,0.6330279875187033,95.13395469005026,137.6195834598615,75.00417447666653,0.5404116476470239
7,2028,3544.324060956866,4604.14191551542,2728.4634747561795,4735.896865244587,2650.3840900302366,0.6428550313504287,90.45983483422074,131.97507453183715,70.76989450029913,0.5629921348162983
8,2029,3461.923609235203,4524.061206531224,2649.149631061116,4653.524517561998,2573.3399399459754,0.6511581397120549,86.01994052268977,126.60396200267893,66.7446907210261,0.584441087694437
9,2030,3390.809919523325,4454.559489665561,2581.0839291767975,4582.033896926696,2507.2220479455846,0.6583239338228359,81.75771702973054,121.4412670864345,62.87711593108363,0.6050317199126743
10,2031,3328.419398359717,4393.277700901568,2521.6652453141787,4518.998430898607,2449.503725594176,0.6646107350130723,77.63533450059991,116.44327668736369,59.13295881638837,0.6249467859950686
11,2032,3272.95841037681,4338.556871812762,2469.082939917863,4462.711676992965,2398.4261477087102,0.6701992795348963,73.62629161658,111.57921442027612,55.48837782504478,0.6443143127585894
12,2033,3223.1253520785335,4289.187613518758,2422.029058012885,4411.9296377152195,2352.718788556227,0.6752207238886176,69.71132983261109,106.82661526272062,51.926128483323204,0.6632273374686546
13,2034,3177.947224537284,4244.262112123918,2379.5298912135995,4365.7185206103395,2311.43580398762,0.6797731126281534,65.87603001913102,102.16859198302612,48.433354713502105,0.6817555183668396
14,2035,3136.6785505562043,4203.082195838181,2340.842236980646,4323.360174575991,2273.8552594033554,0.6839315640061019,62.10932542694754,97.59213661345687,45.00022809385573,0.6999523184784515
