,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,9924.048697531947,9924.048697531947,9924.048697531947,10208.041363537064,9640.05603152683,0.0,206.9981847951291,257.6411202903708,186.11093705418108,0.0
1,2022,7530.0686595489005,8077.2051953005775,7019.994248816476,8308.34745459383,6819.105786574471,0.24123017842288652,167.75360867123842,218.5924992997567,144.3540339059218,0.18958898679585978
2,2023,6944.863703319641,7604.194544606711,6342.700936273999,7821.800840924211,6161.194314988116,0.30019854648166044,155.15073474617648,204.9730467021975,131.83723225220425,0.2504729696072806
3,2024,6029.600363527844,6843.40918377647,5312.568570361643,7039.244379461063,5160.540848852457,0.39242535508442533,137.91974213613616,186.2771538581637,114.90888137085888,0.3337152097607111
4,2025,5082.781487987013,6024.6969991157775,4288.127296429206,6197.103424638199,4165.415614917093,0.48783186752690255,120.41620346950258,166.726943402826,98.22743122006813,0.41827410907645746
5,2026,4772.114883838449,5747.83344322763,3962.0285955545187,5912.316971376937,3848.6487545305768,0.5191362891009145,112.17490729328054,157.09587023607924,90.61206252484087,0.45808748321004533
6,2027,4486.687268521027,5489.398518960317,3667.134491325168,5646.486514765073,3562.193520907545,0.5478974957431597,104.37729553413708,147.89076406330202,83.46964897685129,0.4957574355666853
7,2028,4286.580603056934,5305.723223188838,3463.1986052714537,5457.555054043658,3364.093589285303,0.5680613090781204,97.86526422839411,140.10571920473643,77.54644107949645,0.5272167998707156
8,2029,4134.069622511639,5164.270086957475,3309.379903838919,5312.054008083363,3214.6766581818615,0.5834291277168201,92.08885999388632,133.1444764398155,72.311645528631,0.555122379043909
9,2030,4011.7006290624777,5049.812988018663,3186.997612665017,5194.32153458105,3095.796533734624,0.5957596792063138,86.7927884626332,126.7270260600097,67.52172738238924,0.5807074900268616
10,2031,3759.6637835923807,4811.22606790194,2937.9354796811995,4948.907064783444,2853.8617155497136,0.6211562540470618,79.74652256992772,118.20091275187181,61.20616904498165,0.6147477203780569
11,2032,3585.792238932109,4644.263399744802,2768.556577021939,4777.166490481503,2689.3298634841476,0.6386764768875153,73.85326787660028,111.00569257085446,55.93806843027497,0.643217799471553
12,2033,3454.4931950897794,4516.816310680115,2642.020931137826,4646.072297326417,2566.4152392731994,0.6519068678140514,68.60547766422857,104.56550275586251,51.248862848710594,0.6685696653227708
13,2034,3349.773281171109,4414.284695256748,2541.9704006189413,4540.606574292198,2469.2278161173763,0.6624590040550509,63.77431996444892,98.61758001861068,46.92984031851408,0.6919087960719663
14,2035,3263.1279110102114,4328.833074329869,2459.7861781173547,4452.709617355681,2389.3954277475173,0.6711898530060889,59.23762205726174,93.02032469867198,42.870616010256356,0.7138254032715765
