,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,9924.048697531947,9924.048697531947,9924.048697531947,10208.041363537064,9640.05603152683,0.0,206.9981847951291,257.6411202903708,186.11093705418108,0.0
1,2022,5442.851546724671,6340.267546364599,4672.457864442865,6521.704532271935,4538.747943606856,0.45154929075687866,137.95530721676545,187.62617104199037,114.35154936439018,0.333543396270344
2,2023,4829.928389204316,5799.695130373541,4022.316297742931,5965.662764379741,3907.2112268462183,0.5133106923986084,125.64236374098746,173.66973024288856,102.78029188389418,0.3930267366096054
3,2024,4500.591292054479,5502.082578914241,3681.3918525580752,5659.533549560401,3576.042884744416,0.5464964522822475,117.50567915493859,164.20766170040972,95.26869817840591,0.432334736310675
4,2025,4279.74459718176,5299.410544487502,3456.2737993868345,5451.06172785573,3357.3669478942975,0.5687501414371225,110.97548496571478,156.5114515111521,89.28518197799778,0.4638818447826014
5,2026,4115.5725724068225,5147.024796481115,3290.8210604167534,5294.315215794621,3196.648906009051,0.5852929889964827,105.29072670821697,149.75734257127556,84.09440525293945,0.49134468588492386
6,2027,3985.940044103995,5025.605639512891,3161.3539093233917,5169.421453739051,3070.8866663404224,0.5983554529417742,100.12603488704896,143.58866335372122,79.38599730171433,0.5162951067124284
7,2028,3879.4258390902723,4925.087753474101,3055.7719160202187,5066.0270862049165,2968.3260721329393,0.6090883915094993,95.31338778222019,137.81944271478437,75.00124186771998,0.539544813513442
8,2029,3789.399189181912,4839.581423053505,2967.1049951903615,4978.073854174245,2882.1964983073544,0.6181599562158222,90.75514941462511,132.34076538852594,70.84864278022974,0.5615654818207823
9,2030,3711.683986619566,4765.3525438842635,2890.9924060516078,4901.720795858735,2808.2619937150257,0.6259909539195792,86.38976705679474,127.0835134394832,66.87090668215207,0.5826544704133676
10,2031,3643.487950170499,4699.889952322044,2824.5351652284817,4834.384886614593,2743.706534067298,0.6328627497488386,82.17603953516796,122.00115735044902,63.02990850717045,0.6030108205224143
11,2032,3582.856338229364,4641.426735767129,2765.7141373079694,4774.248650787131,2686.5687647688906,0.6389723138782664,78.08508888829661,117.06092060184066,59.29906553596678,0.622774040431421
12,2033,3528.369993605456,4588.67423923046,2713.0700857647253,4719.986556445526,2635.4312077021186,0.6444626481445077,74.09592123114027,112.2388684313945,55.65914316327325,0.6420455507642508
13,2034,3478.967645847932,4540.6647930804365,2665.516269622217,4670.603242530325,2589.238220736959,0.6494406918102759,70.19281346400564,107.51700301709097,52.09579746378256,0.6609013091903337
14,2035,3433.835935135944,4496.653964970578,2622.2229509510616,4625.33297356231,2547.1838102336656,0.6539884033428898,66.36369536191707,102.88145746255645,48.59806026706261,0.679399626486586
